5001.1.9= { holder=1710867 } #Attalids
5001.1.10= { holder=1710868 }
5001.1.11= { holder=1710869 } 
5001.1.12= { holder=1710870 }
5001.1.13= { holder=1710871 }
5001.1.14= { holder=1710872 }
5001.1.15= { holder=1710873 }
5001.1.16= { holder=1710874 }
5001.1.17= { holder=1710875 }
5001.1.18= { holder=1710876 }
5001.1.19= { holder=1710877 }
5001.1.20= { holder=1710878 }
5044.1.1= { holder=1710879 }
5069.1.1= { holder=1710880 }
5112.1.1= { holder=1710881 }
5146.1.1= { holder=1710882 }
5201.1.1= { holder=1710883 }
5242.1.1= { holder=1710884 }
5278.1.1= { holder=1710885 }
5302.1.1= { holder=1710886 }
5361.1.1= { holder=1710887 }
5409.1.1= { holder=1710888 }
5418.1.1= { holder=1710889 }
5465.1.1= { holder=1710890 }
5522.1.1= { holder=1710891 }
5534.1.1= { holder=1710892 }
5547.1.1= { holder=1710893 } 
5561.1.1= { holder=1710894 }
5572.1.1= { holder=1710895 }
5580.1.1= { holder=1710896 } 
5598.1.1= { holder=1710897 }
5627.1.1= { holder=1710898 }
5642.1.1= { holder=1710899 }
5650.1.1= { holder=1710900 }
5693.1.1= { holder=1710901 }
5760.1.1= { holder=1710902 }
5780.1.1= { holder=1710903 }
5786.1.1= { holder=1710904 }
5830.1.1= { holder=1710905 }
5876.1.1= { holder=1710906 }
5881.1.1= { holder=1710907 }
5923.1.1= { holder=1710908 } 
5937.1.1= { holder=1710909 }
5958.1.1= { holder=1710910 }
5994.1.1= { holder=1710911 }
6008.1.1= { holder=1710912 }
6015.1.1= { holder=1710913 }
6022.1.1= { holder=1710914 }
6033.1.1= { holder=1710915 }
6060.1.1=
{
holder=68
	law = agnatic_succession
}
